ID,assessment-result,reflection-length,item-1,item-2,item-3,item-4,item-5,item-6,item-7,item-8,item-9,item-10,item-11,item-12,item-13,item-14,item-15
1,3,44,1,2,1,2,1,2,2,1,1,2,1,2,1,2,1
2,1,72,0,1,1,0,1,0,1,0,1,0,0,1,0,1,0
3,4,58,2,2,2,1,2,1,2,2,2,2,1,2,1,2,2
4,2,37,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
5,3,63,1,2,1,2,2,1,2,1,2,1,1,2,2,1,2
6,1,19,1,0,1,0,0,1,1,0,0,0,0,1,0,0,0
7,4,81,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2
8,2,45,1,1,0,1,1,1,1,1,1,1,0,1,0,1,0
9,3,55,2,1,2,1,2,2,1,2,1,2,1,1,1,2,1
10,1,33,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1
11,4,92,2,2,1,2,2,2,2,1,2,2,1,2,2,2,2
12,2,60,1,1,1,0,1,1,1,1,1,1,0,1,1,0,1
13,3,49,1,2,1,2,2,1,2,1,1,2,1,2,1,1,2
14,1,24,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0
15,4,73,2,2,2,2,1,2,2,2,2,2,1,2,1,2,2
16,2,66,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0
17,3,31,2,1,2,1,2,1,2,1,1,2,0,2,1,1,2
18,4,80,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2
19,1,56,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0
20,2,41,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1
21,3,68,1,2,2,1,2,1,2,1,2,1,1,2,1,2,1
22,4,86,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2
23,1,52,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1
24,2,39,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0
25,3,77,1,1,2,1,2,1,2,2,1,2,1,1,2,2,1
26,4,28,2,1,2,2,2,2,2,1,2,2,2,2,1,2,2
27,1,70,1,0,1,0,1,0,1,0,0,0,1,0,1,0,0
28,2,20,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1
29,3,58,2,2,1,1,2,1,2,1,2,1,0,2,1,2,1
30,4,93,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2
31,1,47,0,1,1,0,1,0,1,1,0,0,0,1,0,0,1
32,2,76,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0
33,3,43,2,1,2,1,2,1,2,0,2,1,1,1,2,1,2
34,4,62,2,2,2,2,2,1,2,2,2,1,2,1,2,2,2
35,1,29,1,0,1,0,1,0,0,1,0,1,0,1,0,1,0
36,2,85,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1
37,3,50,1,2,1,2,1,2,1,2,1,2,0,2,1,1,2
38,4,74,2,2,2,2,1,2,2,2,2,2,2,1,2,1,2
39,1,12,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1
40,2,33,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0
41,3,91,2,1,2,1,2,2,1,2,1,2,1,1,2,2,1
42,4,38,2,2,1,2,2,2,2,1,2,2,1,2,1,2,2
43,1,53,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1
44,2,27,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1
45,3,82,1,2,1,2,1,2,2,1,2,1,1,2,1,2,2
46,4,69,2,2,2,2,2,2,1,2,2,1,2,2,1,2,2
47,1,35,0,1,0,1,0,1,1,0,0,0,0,1,0,0,1
48,2,99,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1
49,3,65,2,1,2,2,1,2,2,1,1,2,0,2,1,2,1
50,4,59,2,2,2,2,2,1,2,2,1,2,2,2,1,2,2
51,1,14,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0
52,2,36,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1
53,3,71,2,1,2,1,2,1,2,1,1,2,1,2,1,1,2
54,4,84,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1
55,1,26,0,1,0,1,0,1,0,1,0,0,1,0,1,0,0
56,2,63,1,0,1,1,1,1,1,0,1,1,0,1,1,0,1
